review_emotion	_review_score	_review_score_source	segment_id	unit	doc_id	token_count	lexical_token_count	emotion_anger_count	emotion_anger_per_1k	emotion_anger_prop	intensity_anger_mean	emotion_anticipation_count	emotion_anticipation_per_1k	emotion_anticipation_prop	intensity_anticipation_mean	emotion_disgust_count	emotion_disgust_per_1k	emotion_disgust_prop	intensity_disgust_mean	emotion_fear_count	emotion_fear_per_1k	emotion_fear_prop	intensity_fear_mean	emotion_joy_count	emotion_joy_per_1k	emotion_joy_prop	intensity_joy_mean	emotion_sadness_count	emotion_sadness_per_1k	emotion_sadness_prop	intensity_sadness_mean	emotion_surprise_count	emotion_surprise_per_1k	emotion_surprise_prop	intensity_surprise_mean	emotion_trust_count	emotion_trust_per_1k	emotion_trust_prop	intensity_trust_mean	sentiment_positive_count	sentiment_positive_per_1k	sentiment_negative_count	sentiment_negative_per_1k	vad_valence_mean	vad_arousal_mean	vad_dominance_mean	sentiment_balance	lexicon_hit_count	lexicon_unique_hit_count	lexicon_coverage	dominant_emotion	dominant_emotion_score	source_xml	xml_doc_index	title	author	century	genre	publication	category	year	language
emotion_disgust_per_1k	137.25490196078434	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-014640::window::133	window	wikivir-014640	350	153	8.0	52.287581699346404	0.09876543209876543	0.04758108108108108	7.0	45.7516339869281	0.08641975308641975	0.0357972972972973	21.0	137.25490196078434	0.25925925925925924	0.15081081081081082	24.0	156.86274509803923	0.2962962962962963	0.2400945945945946	4.0	26.143790849673202	0.04938271604938271	0.05685135135135136	11.0	71.89542483660131	0.13580246913580246	0.08924324324324323	3.0	19.607843137254903	0.037037037037037035	0.006864864864864865	3.0	19.607843137254903	0.037037037037037035	0.03727027027027027	9.0	58.8235294117647	26.0	169.9346405228758	0.4460518018018019	0.5051486486486486	0.5053468468468468	-0.4857142857142857	74	47	0.48366013071895425	fear	0.2962962962962963	wikivir.cleaned.xml	14640	Domače in tuje živali v podobah, 5: Golazen	Fran Erjavec	19	prirocniki				
emotion_surprise_per_1k	137.14285714285714	emotion_surprise_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-003812::window::77	window	wikivir-003812	370	175	17.0	97.14285714285714	0.1118421052631579	0.05892592592592592	29.0	165.7142857142857	0.19078947368421054	0.13100925925925927	9.0	51.42857142857143	0.05921052631578947	0.0254537037037037	6.0	34.285714285714285	0.039473684210526314	0.03389814814814815	33.0	188.57142857142858	0.21710526315789475	0.2177314814814815	11.0	62.85714285714286	0.07236842105263158	0.04398148148148148	24.0	137.14285714285714	0.15789473684210525	0.06677777777777777	23.0	131.42857142857142	0.1513157894736842	0.176962962962963	41.0	234.28571428571428	18.0	102.85714285714286	0.6215632716049383	0.4510686728395062	0.5206359567901235	0.3898305084745763	108	58	0.6171428571428571	joy	0.21710526315789475	wikivir.cleaned.xml	3812	Klic po ljubezni	Klara Filipič	21	pesmi				
emotion_disgust_per_1k	136.8421052631579	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-008903::window::2	window	wikivir-008903	225	95	6.0	63.15789473684211	0.16216216216216217	0.060975	3.0	31.578947368421055	0.08108108108108109	0.036525	13.0	136.8421052631579	0.35135135135135137	0.16575	6.0	63.15789473684211	0.16216216216216217	0.10982499999999999	1.0	10.526315789473683	0.02702702702702703	0.00605	5.0	52.63157894736842	0.13513513513513514	0.086	0.0	0.0	0.0	0.0	3.0	31.578947368421055	0.08108108108108109	0.037125	4.0	42.10526315789473	11.0	115.78947368421052	0.4827183333333333	0.4515041666666667	0.4342491666666667	-0.4666666666666667	40	23	0.42105263157894735	disgust	0.35135135135135137	wikivir.cleaned.xml	8903	Slovenske vecernice 1865/46							
emotion_disgust_per_1k	135.80246913580245	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-015971::window::1	window	wikivir-015971	265	81	12.0	148.14814814814815	0.27906976744186046	0.22320930232558137	4.0	49.382716049382715	0.09302325581395349	0.03906976744186046	11.0	135.80246913580245	0.2558139534883721	0.16534883720930232	6.0	74.07407407407408	0.13953488372093023	0.1000232558139535	1.0	12.345679012345679	0.023255813953488372	0.0714186046511628	6.0	74.07407407407408	0.13953488372093023	0.10486046511627908	1.0	12.345679012345679	0.023255813953488372	0.013255813953488372	2.0	24.691358024691358	0.046511627906976744	0.08541860465116279	6.0	74.07407407407408	20.0	246.91358024691357	0.4296511627906977	0.5040077519379845	0.44925193798449603	-0.5384615384615384	43	31	0.5308641975308642	anger	0.27906976744186046	wikivir.cleaned.xml	15971	Sovraštvo	Zofka Kveder	20	kratka proza				
emotion_disgust_per_1k	135.80246913580245	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-015971::document::1	document	wikivir-015971	266	81	12.0	148.14814814814815	0.27906976744186046	0.22320930232558137	4.0	49.382716049382715	0.09302325581395349	0.03906976744186046	11.0	135.80246913580245	0.2558139534883721	0.16534883720930232	6.0	74.07407407407408	0.13953488372093023	0.1000232558139535	1.0	12.345679012345679	0.023255813953488372	0.0714186046511628	6.0	74.07407407407408	0.13953488372093023	0.10486046511627908	1.0	12.345679012345679	0.023255813953488372	0.013255813953488372	2.0	24.691358024691358	0.046511627906976744	0.08541860465116279	6.0	74.07407407407408	20.0	246.91358024691357	0.4296511627906977	0.5040077519379845	0.44925193798449603	-0.5384615384615384	43	31	0.5308641975308642	anger	0.27906976744186046	wikivir.cleaned.xml	15971	Sovraštvo	Zofka Kveder	20	kratka proza				
emotion_surprise_per_1k	135.13513513513513	emotion_surprise_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-003937::window::128	window	wikivir-003937	389	148	2.0	13.513513513513514	0.018867924528301886	0.018679487179487177	23.0	155.4054054054054	0.2169811320754717	0.13573076923076924	2.0	13.513513513513514	0.018867924528301886	0.012025641025641024	4.0	27.027027027027028	0.03773584905660377	0.016435897435897438	27.0	182.43243243243242	0.25471698113207547	0.23108974358974357	3.0	20.27027027027027	0.02830188679245283	0.012102564102564103	20.0	135.13513513513513	0.18867924528301888	0.09891025641025641	25.0	168.9189189189189	0.2358490566037736	0.20352564102564102	35.0	236.48648648648648	4.0	27.027027027027028	0.6725207264957264	0.39383418803418807	0.5567600427350426	0.7948717948717948	78	56	0.527027027027027	joy	0.25471698113207547	wikivir.cleaned.xml	3937	Zadnji mega žur	Ivan Sivec	21	proza				
emotion_disgust_per_1k	134.96932515337423	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-001025::window::11	window	wikivir-001025	358	163	10.0	61.34969325153374	0.1111111111111111	0.06623684210526315	5.0	30.67484662576687	0.05555555555555555	0.030828947368421053	22.0	134.96932515337423	0.24444444444444444	0.1512894736842105	26.0	159.5092024539877	0.28888888888888886	0.2506184210526316	3.0	18.404907975460123	0.03333333333333333	0.03465789473684211	12.0	73.61963190184049	0.13333333333333333	0.09944736842105263	5.0	30.67484662576687	0.05555555555555555	0.0496578947368421	7.0	42.944785276073624	0.07777777777777778	0.06434210526315791	11.0	67.48466257668711	32.0	196.31901840490798	0.40602357456140353	0.5158728070175439	0.5089314692982455	-0.4883720930232558	76	54	0.4662576687116564	fear	0.28888888888888886	wikivir.cleaned.xml	1025	Pri pastirjih na Žabjeku	Janez Trdina		kratka proza				
emotion_disgust_per_1k	134.50292397660817	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-000671::window::145	window	wikivir-000671	354	171	16.0	93.56725146198829	0.16	0.10349397590361446	6.0	35.08771929824561	0.06	0.03596385542168675	23.0	134.50292397660817	0.23	0.1807590361445783	25.0	146.19883040935673	0.25	0.21143373493975903	3.0	17.543859649122805	0.03	0.035674698795180725	20.0	116.95906432748538	0.2	0.15090361445783132	2.0	11.695906432748536	0.02	0.010168674698795182	5.0	29.239766081871345	0.05	0.05006024096385541	12.0	70.17543859649122	29.0	169.5906432748538	0.45307329317269074	0.4673825301204819	0.4725732931726907	-0.4146341463414634	83	59	0.4853801169590643	fear	0.25	wikivir.cleaned.xml	671	Naše škodljive rastline/Bakterije	Martin Cilenšek	19	neleposlovje				
emotion_surprise_per_1k	134.2281879194631	emotion_surprise_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-020296::window::840	window	wikivir-020296	367	149	2.0	13.422818791946309	0.020202020202020204	0.012870588235294116	23.0	154.36241610738256	0.23232323232323232	0.11487058823529411	7.0	46.97986577181208	0.0707070707070707	0.049164705882352944	7.0	46.97986577181208	0.0707070707070707	0.038847058823529415	21.0	140.93959731543623	0.21212121212121213	0.14849411764705883	5.0	33.557046979865774	0.050505050505050504	0.04587058823529412	20.0	134.2281879194631	0.20202020202020202	0.05434117647058823	14.0	93.95973154362416	0.1414141414141414	0.09983529411764706	34.0	228.18791946308724	10.0	67.11409395973155	0.5999635294117648	0.40527627450980397	0.5069878431372549	0.5454545454545454	85	64	0.5704697986577181	anticipation	0.23232323232323232	wikivir.cleaned.xml	20296	Doberdob	Lovro Kuhar	20	romani			1940	
emotion_disgust_per_1k	134.2281879194631	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-000971::window::66	window	wikivir-000971	405	149	13.0	87.24832214765101	0.15476190476190477	0.07805063291139241	5.0	33.557046979865774	0.05952380952380952	0.03044303797468354	20.0	134.2281879194631	0.23809523809523808	0.13350632911392407	16.0	107.38255033557047	0.19047619047619047	0.11758227848101266	4.0	26.845637583892618	0.047619047619047616	0.04583544303797468	11.0	73.8255033557047	0.13095238095238096	0.08651898734177214	7.0	46.97986577181208	0.08333333333333333	0.05824050632911392	8.0	53.691275167785236	0.09523809523809523	0.0549746835443038	9.0	60.40268456375839	27.0	181.20805369127515	0.4382953586497891	0.5161445147679325	0.4244525316455697	-0.5	79	57	0.5302013422818792	disgust	0.23809523809523808	wikivir.cleaned.xml	971	Njeno življenje	Zofka Kveder	20	romani				
emotion_disgust_per_1k	133.85826771653544	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-019038::window::262	window	wikivir-019038	373	127	16.0	125.98425196850394	0.16326530612244897	0.21619047619047618	9.0	70.86614173228347	0.09183673469387756	0.051190476190476196	17.0	133.85826771653544	0.17346938775510204	0.17993650793650795	18.0	141.73228346456693	0.1836734693877551	0.16768253968253968	4.0	31.496062992125985	0.04081632653061224	0.03671428571428571	14.0	110.23622047244095	0.14285714285714285	0.159984126984127	11.0	86.61417322834646	0.11224489795918367	0.08753968253968254	9.0	70.86614173228347	0.09183673469387756	0.0832063492063492	9.0	70.86614173228347	29.0	228.3464566929134	0.37501946334089187	0.5128633786848074	0.4407762660619803	-0.5263157894736842	63	47	0.49606299212598426	fear	0.1836734693877551	wikivir.cleaned.xml	19038	Mlade trave	Manica Lobnik	20	romani				
emotion_surprise_per_1k	133.33333333333334	emotion_surprise_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-020031::window::16	window	wikivir-020031	341	165	11.0	66.66666666666667	0.10091743119266056	0.039670103092783515	14.0	84.84848484848486	0.12844036697247707	0.06555670103092784	5.0	30.303030303030305	0.045871559633027525	0.004752577319587629	29.0	175.75757575757575	0.26605504587155965	0.203020618556701	8.0	48.484848484848484	0.07339449541284404	0.0336701030927835	9.0	54.54545454545454	0.08256880733944955	0.041752577319587626	22.0	133.33333333333334	0.2018348623853211	0.07217525773195876	11.0	66.66666666666667	0.10091743119266056	0.06104123711340207	14.0	84.84848484848486	15.0	90.9090909090909	0.520827319587629	0.5315010309278351	0.5335604810996564	-0.034482758620689655	97	58	0.5878787878787879	fear	0.26605504587155965	wikivir.cleaned.xml	20031	Po divjinah Kanade	Januš Golec	20	povesti			1935	
emotion_disgust_per_1k	132.9479768786127	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-018342::window::17	window	wikivir-018342	392	173	7.0	40.46242774566474	0.109375	0.027239999999999997	5.0	28.90173410404624	0.078125	0.01593	23.0	132.9479768786127	0.359375	0.09966999999999998	10.0	57.80346820809248	0.15625	0.03095	2.0	11.560693641618496	0.03125	0.026069999999999996	3.0	17.341040462427745	0.046875	0.01547	3.0	17.341040462427745	0.046875	0.00867	11.0	63.58381502890173	0.171875	0.05436	14.0	80.92485549132948	28.0	161.84971098265896	0.4937710476190476	0.3865623809523809	0.4295319761904761	-0.3333333333333333	100	66	0.5780346820809249	disgust	0.359375	wikivir.cleaned.xml	18342	Spomini s potov in cest	Anton Erjavec	20	kratka proza			1907	
emotion_disgust_per_1k	132.91139240506328	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-019119::window::26	window	wikivir-019119	400	158	15.0	94.9367088607595	0.1744186046511628	0.08303896103896102	5.0	31.645569620253166	0.05813953488372093	0.03307792207792208	21.0	132.91139240506328	0.2441860465116279	0.14588311688311686	15.0	94.9367088607595	0.1744186046511628	0.1057012987012987	6.0	37.9746835443038	0.06976744186046512	0.08640259740259741	10.0	63.29113924050633	0.11627906976744186	0.07125974025974026	5.0	31.645569620253166	0.05813953488372093	0.03632467532467533	9.0	56.962025316455694	0.10465116279069768	0.09403896103896103	10.0	63.29113924050633	31.0	196.20253164556962	0.4570070346320347	0.4653099567099567	0.4594102813852815	-0.5121951219512195	77	51	0.4873417721518987	disgust	0.2441860465116279	wikivir.cleaned.xml	19119	Srce je odkrila		19	dramska besedila			1876	
emotion_disgust_per_1k	132.91139240506328	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-020150::window::208	window	wikivir-020150	354	158	15.0	94.9367088607595	0.17045454545454544	0.12540217391304348	7.0	44.30379746835443	0.07954545454545454	0.04451086956521739	21.0	132.91139240506328	0.23863636363636365	0.1283913043478261	13.0	82.27848101265822	0.14772727272727273	0.09605434782608695	7.0	44.30379746835443	0.07954545454545454	0.05788043478260869	9.0	56.962025316455694	0.10227272727272728	0.06381521739130434	2.0	12.658227848101266	0.022727272727272728	0.017152173913043477	14.0	88.60759493670886	0.1590909090909091	0.10555434782608694	17.0	107.59493670886076	25.0	158.22784810126583	0.4780652173913044	0.5569891304347825	0.547213768115942	-0.19047619047619047	92	77	0.5822784810126582	disgust	0.23863636363636365	wikivir.cleaned.xml	20150	Zapiski političnega kaznjenca v Italiji	Peter Žele	20	proza			1934	
emotion_disgust_per_1k	132.53012048192772	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-019203::window::41	window	wikivir-019203	435	166	25.0	150.60240963855424	0.22321428571428573	0.15283561643835616	4.0	24.096385542168676	0.03571428571428571	0.020534246575342467	22.0	132.53012048192772	0.19642857142857142	0.17373972602739726	26.0	156.6265060240964	0.23214285714285715	0.19779452054794522	2.0	12.048192771084338	0.017857142857142856	0.04497260273972603	23.0	138.55421686746988	0.20535714285714285	0.19567123287671231	3.0	18.072289156626507	0.026785714285714284	0.022246575342465755	7.0	42.16867469879518	0.0625	0.05147945205479451	10.0	60.24096385542169	32.0	192.7710843373494	0.41503767123287666	0.5126278538812785	0.4455456621004566	-0.5238095238095238	73	46	0.4397590361445783	fear	0.23214285714285715	wikivir.cleaned.xml	19203	Revček Andrejček	Karl Morré	19	igra s petjem			1891	
emotion_disgust_per_1k	132.53012048192772	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-015526::window::117	window	wikivir-015526	355	166	9.0	54.21686746987952	0.09375	0.07034615384615385	9.0	54.21686746987952	0.09375	0.04328205128205128	22.0	132.53012048192772	0.22916666666666666	0.1599358974358974	22.0	132.53012048192772	0.22916666666666666	0.217525641025641	7.0	42.16867469879518	0.07291666666666667	0.036012820512820516	19.0	114.4578313253012	0.19791666666666666	0.12647435897435896	3.0	18.072289156626507	0.03125	0.013423076923076923	5.0	30.120481927710845	0.052083333333333336	0.04347435897435897	13.0	78.3132530120482	31.0	186.74698795180723	0.40950534188034193	0.4990722222222222	0.4874863247863247	-0.4090909090909091	78	54	0.46987951807228917	disgust	0.22916666666666666	wikivir.cleaned.xml	15526	Zlate bukve slovenskega vedeža	Johann Peter Hebel	19	proza				
emotion_disgust_per_1k	132.45033112582783	emotion_disgust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-004482::window::49	window	wikivir-004482	351	151	14.0	92.71523178807948	0.14583333333333334	0.13858620689655174	11.0	72.8476821192053	0.11458333333333333	0.0726896551724138	20.0	132.45033112582783	0.20833333333333334	0.2017241379310345	21.0	139.0728476821192	0.21875	0.24748275862068966	3.0	19.867549668874172	0.03125	0.026775862068965515	16.0	105.96026490066225	0.16666666666666666	0.1673448275862069	4.0	26.490066225165563	0.041666666666666664	0.031120689655172413	7.0	46.35761589403974	0.07291666666666667	0.07313793103448275	10.0	66.22516556291392	23.0	152.31788079470198	0.4448261494252873	0.5474137931034483	0.5432758620689656	-0.3939393939393939	58	42	0.3841059602649007	fear	0.21875	wikivir.cleaned.xml	4482	Verske bajke na Dolenjskem	Janez Trdina	19	ljudske pripovedi				
emotion_surprise_per_1k	130.71895424836603	emotion_surprise_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-007384::window::29	window	wikivir-007384	355	153	3.0	19.607843137254903	0.030612244897959183	0.011706666666666667	22.0	143.79084967320262	0.22448979591836735	0.11881333333333333	4.0	26.143790849673202	0.04081632653061224	0.018333333333333333	4.0	26.143790849673202	0.04081632653061224	0.03816	22.0	143.79084967320262	0.22448979591836735	0.13685333333333333	3.0	19.607843137254903	0.030612244897959183	0.03144	20.0	130.71895424836603	0.20408163265306123	0.06865333333333332	20.0	130.71895424836603	0.20408163265306123	0.11838666666666668	30.0	196.078431372549	11.0	71.89542483660131	0.6289944444444444	0.4020533333333334	0.5031277777777777	0.4634146341463415	75	51	0.49019607843137253	anticipation	0.22448979591836735	wikivir.cleaned.xml	7384	Srebrna ribica	Branko Rudolf	20					
